schema,question,generated_sql_query
"
        CREATE TABLE movie (
            movie_id INTEGER PRIMARY KEY,
            title TEXT,
            release_year INTEGER,
            genre TEXT
        );

        CREATE TABLE actor (
            actor_id INTEGER PRIMARY KEY,
            actor_name TEXT
        );

        CREATE TABLE movie_actor (
            movie_id INTEGER,
            actor_id INTEGER,
            FOREIGN KEY (movie_id) REFERENCES movie(movie_id),
            FOREIGN KEY (actor_id) REFERENCES actor(actor_id)
        );
        ",List all actors who acted in movies released before 2000.,SELECT T2.actor_name FROM movie_actor AS T1 INNER JOIN actor AS T2 ON T1.actor_id = T2.actor_id INNER JOIN movie AS T3 ON T1.movie_id = T3.movie_id WHERE T3.release_year < 2000;
"
        CREATE TABLE customer (
            customer_id INTEGER PRIMARY KEY,
            customer_name TEXT
        );

        CREATE TABLE invoice (
            invoice_id INTEGER PRIMARY KEY,
            customer_id INTEGER,
            amount INTEGER,
            date DATE,
            FOREIGN KEY (customer_id) REFERENCES customer(customer_id)
        );

        CREATE TABLE payment (
            payment_id INTEGER PRIMARY KEY,
            invoice_id INTEGER,
            payment_date DATE,
            FOREIGN KEY (invoice_id) REFERENCES invoice(invoice_id)
        );
        ",Find customers who haven't made any payments.,SELECT T1.customer_name FROM customer AS T1 INNER JOIN invoice AS T2 ON T1.customer_id = T2.customer_id WHERE T2.invoice_id IS NULL;
"
        CREATE TABLE tournament (
            tournament_id INTEGER PRIMARY KEY,
            tournament_name TEXT
        );

        CREATE TABLE match (
            match_id INTEGER PRIMARY KEY,
            tournament_id INTEGER,
            team1 TEXT,
            team2 TEXT,
            winner TEXT,
            FOREIGN KEY (tournament_id) REFERENCES tournament(tournament_id)
        );
        ",List all tournaments where 'Team A' won more than 3 matches.,SELECT T1.tournament_name FROM tournament AS T1 INNER JOIN match AS T2 ON T1.tournament_id = T2.tournament_id WHERE T2.winner = 'Team A' GROUP BY T1.tournament_id HAVING COUNT(T2.match_id) > 3;
"
        CREATE TABLE product (
            product_id INTEGER PRIMARY KEY,
            product_name TEXT,
            price INTEGER
        );

        CREATE TABLE order (
            order_id INTEGER PRIMARY KEY,
            product_id INTEGER,
            quantity INTEGER,
            FOREIGN KEY (product_id) REFERENCES product(product_id)
        );
        ",Find the total sales amount for each product.,SELECT SUM(T1.price * T2.quantity) FROM product AS T1 INNER JOIN order AS T2 ON T1.product_id = T2.product_id;
"
        CREATE TABLE bank_account (
            account_id INTEGER PRIMARY KEY,
            account_type TEXT,
            balance INTEGER
        );

        CREATE TABLE transaction (
            transaction_id INTEGER PRIMARY KEY,
            account_id INTEGER,
            transaction_date DATE,
            amount INTEGER,
            transaction_type TEXT,
            FOREIGN KEY (account_id) REFERENCES bank_account(account_id)
        );
        ",List all accounts with a balance below 1000 after transactions in 2021.,SELECT T1.account_id FROM bank_account AS T1 INNER JOIN transaction AS T2 ON T1.account_id = T2.account_id WHERE T2.transaction_date LIKE '2021%' AND T1.balance < 1000;
"
        CREATE TABLE professor (
            professor_id INTEGER PRIMARY KEY,
            professor_name TEXT,
            department TEXT
        );

        CREATE TABLE research_project (
            project_id INTEGER PRIMARY KEY,
            project_title TEXT,
            department TEXT,
            budget INTEGER
        );
        ",Find the average budget of research projects in the 'Physics' department.,SELECT AVG(budget) FROM research_project WHERE department = 'Physics';
"
        CREATE TABLE gym_member (
            member_id INTEGER PRIMARY KEY,
            member_name TEXT,
            membership_start DATE
        );

        CREATE TABLE gym_activity (
            activity_id INTEGER PRIMARY KEY,
            activity_name TEXT
        );

        CREATE TABLE participation (
            member_id INTEGER,
            activity_id INTEGER,
            participation_date DATE,
            FOREIGN KEY (member_id) REFERENCES gym_member(member_id),
            FOREIGN KEY (activity_id) REFERENCES gym_activity(activity_id)
        );
        ",List all gym members who participated in activities in 2021.,"SELECT T1.member_name FROM gym_member AS T1 INNER JOIN participation AS T2 ON T1.member_id = T2.member_id WHERE STRFTIME('%Y', T2.participation_date) = '2021';"
"
        CREATE TABLE library (
            library_id INTEGER PRIMARY KEY,
            library_name TEXT
        );

        CREATE TABLE book (
            book_id INTEGER PRIMARY KEY,
            title TEXT,
            library_id INTEGER,
            FOREIGN KEY (library_id) REFERENCES library(library_id)
        );
        ",Find all libraries that have more than 1000 books.,SELECT T1.library_name FROM library AS T1 INNER JOIN book AS T2 ON T1.library_id = T2.library_id GROUP BY T1.library_id HAVING COUNT(T2.book_id) > 1000;
"
        CREATE TABLE employee (
            employee_id INTEGER PRIMARY KEY,
            name TEXT,
            department_id INTEGER,
            salary INTEGER,
            hire_date DATE
        );

        CREATE TABLE department (
            department_id INTEGER PRIMARY KEY,
            department_name TEXT
        );
        ",List employees who have been working in the 'HR' department for more than 5 years.,"SELECT T1.name FROM employee AS T1 INNER JOIN department AS T2 ON T1.department_id = T2.department_id WHERE T2.department_name = 'HR' AND strftime('%Y', 'now') - strftime('%Y', T1.hire_date) > 5;"
"
        CREATE TABLE client (
            client_id INTEGER PRIMARY KEY,
            client_name TEXT
        );

        CREATE TABLE project (
            project_id INTEGER PRIMARY KEY,
            client_id INTEGER,
            project_name TEXT,
            start_date DATE,
            end_date DATE,
            FOREIGN KEY (client_id) REFERENCES client(client_id)
        );
        ",List all clients who have more than 3 ongoing projects.,SELECT T1.client_name FROM client AS T1 INNER JOIN project AS T2 ON T1.client_id = T2.client_id WHERE T2.end_date IS NULL GROUP BY T1.client_name HAVING COUNT(T2.project_id) > 3;
